-------------------------
Time: 2025-06-14 04:01:40 | *** Validation Epoch 0 End ***
  - Val Loss: 0.6413
  - Val Acc:  0.6602
  - Val F1:   0.4284
-------------------------
==================================================
Run Name: 20250614_040131_gpt2_lora
Training started at: 2025-06-14 04:01:43
==================================================

--- Hyperparameters ---
-------------------------

Time: 2025-06-14 05:39:20 | Step: 15050 | Train Loss: 0.3708
Time: 2025-06-14 05:39:38 | Step: 15100 | Train Loss: 0.3732
Time: 2025-06-14 05:39:57 | Step: 15150 | Train Loss: 0.4963
Time: 2025-06-14 05:40:15 | Step: 15200 | Train Loss: 0.3781
Time: 2025-06-14 05:40:33 | Step: 15250 | Train Loss: 0.2998
Time: 2025-06-14 05:40:51 | Step: 15300 | Train Loss: 0.2918
Time: 2025-06-14 05:41:09 | Step: 15350 | Train Loss: 0.2964
Time: 2025-06-14 05:41:27 | Step: 15400 | Train Loss: 0.3322
Time: 2025-06-14 05:41:46 | Step: 15450 | Train Loss: 0.3490
-------------------------
Time: 2025-06-14 05:42:49 | *** Validation Epoch 6 End ***
  - Val Loss: 0.3452
  - Val Acc:  0.8390
  - Val F1:   0.8302
-------------------------
Time: 2025-06-14 05:43:09 | Step: 15500 | Train Loss: 0.3478
Time: 2025-06-14 05:43:27 | Step: 15550 | Train Loss: 0.3906
Time: 2025-06-14 05:43:45 | Step: 15600 | Train Loss: 0.3311
Time: 2025-06-14 05:44:03 | Step: 15650 | Train Loss: 0.3599
Time: 2025-06-14 05:44:21 | Step: 15700 | Train Loss: 0.3175
Time: 2025-06-14 05:44:39 | Step: 15750 | Train Loss: 0.3863
Time: 2025-06-14 05:44:58 | Step: 15800 | Train Loss: 0.2406
Time: 2025-06-14 05:45:16 | Step: 15850 | Train Loss: 0.3712
Time: 2025-06-14 05:45:34 | Step: 15900 | Train Loss: 0.4019
Time: 2025-06-14 05:45:52 | Step: 15950 | Train Loss: 0.3579
Time: 2025-06-14 05:46:10 | Step: 16000 | Train Loss: 0.3922
Time: 2025-06-14 05:46:28 | Step: 16050 | Train Loss: 0.3714
Time: 2025-06-14 05:46:47 | Step: 16100 | Train Loss: 0.3175
Time: 2025-06-14 05:47:05 | Step: 16150 | Train Loss: 0.3332
Time: 2025-06-14 05:47:23 | Step: 16200 | Train Loss: 0.3295
Time: 2025-06-14 05:47:41 | Step: 16250 | Train Loss: 0.2586
Time: 2025-06-14 05:47:59 | Step: 16300 | Train Loss: 0.2873
Time: 2025-06-14 05:48:18 | Step: 16350 | Train Loss: 0.3122
Time: 2025-06-14 05:48:36 | Step: 16400 | Train Loss: 0.3111
Time: 2025-06-14 05:48:54 | Step: 16450 | Train Loss: 0.2719
Time: 2025-06-14 05:49:12 | Step: 16500 | Train Loss: 0.3149
Time: 2025-06-14 05:49:30 | Step: 16550 | Train Loss: 0.3580
Time: 2025-06-14 05:49:48 | Step: 16600 | Train Loss: 0.3116
