-------------------------
Time: 2025-06-14 04:02:00 | *** Validation Epoch 0 End ***
  - Val Loss: 0.6413
  - Val Acc:  0.6602
  - Val F1:   0.4284
-------------------------
==================================================
Run Name: 20250614_040151_gpt2_dora
Training started at: 2025-06-14 04:02:02
==================================================

--- Hyperparameters ---
-------------------------

Time: 2025-06-14 05:28:46 | Step: 10900 | Train Loss: 0.3230
Time: 2025-06-14 05:29:08 | Step: 10950 | Train Loss: 0.3061
Time: 2025-06-14 05:29:31 | Step: 11000 | Train Loss: 0.4508
Time: 2025-06-14 05:29:53 | Step: 11050 | Train Loss: 0.4142
-------------------------
Time: 2025-06-14 05:30:59 | *** Validation Epoch 4 End ***
  - Val Loss: 0.3603
  - Val Acc:  0.8313
  - Val F1:   0.8178
-------------------------
Time: 2025-06-14 05:31:31 | Step: 11100 | Train Loss: 0.3605
Time: 2025-06-14 05:31:53 | Step: 11150 | Train Loss: 0.3060
Time: 2025-06-14 05:32:15 | Step: 11200 | Train Loss: 0.3740
Time: 2025-06-14 05:32:38 | Step: 11250 | Train Loss: 0.3551
Time: 2025-06-14 05:33:01 | Step: 11300 | Train Loss: 0.3352
Time: 2025-06-14 05:33:23 | Step: 11350 | Train Loss: 0.3772
Time: 2025-06-14 05:33:46 | Step: 11400 | Train Loss: 0.3820
Time: 2025-06-14 05:34:08 | Step: 11450 | Train Loss: 0.4128
Time: 2025-06-14 05:34:31 | Step: 11500 | Train Loss: 0.3673
Time: 2025-06-14 05:34:53 | Step: 11550 | Train Loss: 0.3955
Time: 2025-06-14 05:35:16 | Step: 11600 | Train Loss: 0.4122
Time: 2025-06-14 05:35:38 | Step: 11650 | Train Loss: 0.2822
Time: 2025-06-14 05:36:01 | Step: 11700 | Train Loss: 0.3506
Time: 2025-06-14 05:36:23 | Step: 11750 | Train Loss: 0.3707
Time: 2025-06-14 05:36:46 | Step: 11800 | Train Loss: 0.2664
Time: 2025-06-14 05:37:08 | Step: 11850 | Train Loss: 0.3583
Time: 2025-06-14 05:37:31 | Step: 11900 | Train Loss: 0.3036
Time: 2025-06-14 05:37:53 | Step: 11950 | Train Loss: 0.3811
Time: 2025-06-14 05:38:16 | Step: 12000 | Train Loss: 0.3586
Time: 2025-06-14 05:38:38 | Step: 12050 | Train Loss: 0.3605
Time: 2025-06-14 05:39:01 | Step: 12100 | Train Loss: 0.2794
Time: 2025-06-14 05:39:23 | Step: 12150 | Train Loss: 0.4116
Time: 2025-06-14 05:39:46 | Step: 12200 | Train Loss: 0.3885
Time: 2025-06-14 05:40:08 | Step: 12250 | Train Loss: 0.3152
Time: 2025-06-14 05:40:31 | Step: 12300 | Train Loss: 0.3734
Time: 2025-06-14 05:40:53 | Step: 12350 | Train Loss: 0.2709
Time: 2025-06-14 05:41:16 | Step: 12400 | Train Loss: 0.3793
Time: 2025-06-14 05:41:38 | Step: 12450 | Train Loss: 0.3600
Time: 2025-06-14 05:42:01 | Step: 12500 | Train Loss: 0.3108
Time: 2025-06-14 05:42:23 | Step: 12550 | Train Loss: 0.3498
