global_step	epoch	step_in_epoch	timestamp	loss
33400	11	971	2025-06-15 08:35:01	0.0518
33450	11	1021	2025-06-15 08:35:32	0.0443
33500	11	1071	2025-06-15 08:36:02	0.0513
33550	11	1121	2025-06-15 08:36:32	0.0872
33600	11	1171	2025-06-15 08:37:02	0.0409
33650	11	1221	2025-06-15 08:37:32	0.0462
33700	11	1271	2025-06-15 08:38:02	0.0486
33750	11	1321	2025-06-15 08:38:32	0.0515
33800	11	1371	2025-06-15 08:39:03	0.1295
33850	11	1421	2025-06-15 08:39:33	0.0462
33900	11	1471	2025-06-15 08:40:03	0.1196
33950	11	1521	2025-06-15 08:40:33	0.0718
34000	11	1571	2025-06-15 08:41:03	0.0575
34050	11	1621	2025-06-15 08:41:33	0.0695
34100	11	1671	2025-06-15 08:42:03	0.0566
34150	11	1721	2025-06-15 08:42:34	0.0742
34200	11	1771	2025-06-15 08:43:04	0.0314
34250	11	1821	2025-06-15 08:43:34	0.1061
34300	11	1871	2025-06-15 08:44:04	0.0664
34350	11	1921	2025-06-15 08:44:34	0.0680
34400	11	1971	2025-06-15 08:45:04	0.0548
34450	11	2021	2025-06-15 08:45:34	0.0600
34500	11	2071	2025-06-15 08:46:05	0.0736
34550	11	2121	2025-06-15 08:46:35	0.0859
34600	11	2171	2025-06-15 08:47:05	0.0538
34650	11	2221	2025-06-15 08:47:35	0.0621
34700	11	2271	2025-06-15 08:48:05	0.0539
34750	11	2321	2025-06-15 08:48:35	0.0554
34800	11	2371	2025-06-15 08:49:05	0.0578
34850	11	2421	2025-06-15 08:49:36	0.1121
34900	11	2471	2025-06-15 08:50:06	0.0803
34950	11	2521	2025-06-15 08:50:36	0.0868
35000	11	2571	2025-06-15 08:51:06	0.0689
35050	11	2621	2025-06-15 08:51:36	0.0994
35100	11	2671	2025-06-15 08:52:06	0.0403
35150	11	2721	2025-06-15 08:52:36	0.0523
35200	11	2771	2025-06-15 08:53:07	0.0630
35250	11	2821	2025-06-15 08:53:37	0.0447
35300	11	2871	2025-06-15 08:54:07	0.0724
35350	11	2921	2025-06-15 08:54:37	0.0632
35400	12	23	2025-06-15 08:56:56	0.0540
35450	12	73	2025-06-15 08:57:26	0.0426
35500	12	123	2025-06-15 08:57:57	0.0382
35550	12	173	2025-06-15 08:58:27	0.0582
35600	12	223	2025-06-15 08:58:57	0.0677
35650	12	273	2025-06-15 08:59:27	0.0523
35700	12	323	2025-06-15 08:59:57	0.0824
35750	12	373	2025-06-15 09:00:27	0.0568
35800	12	423	2025-06-15 09:00:57	0.0610
35850	12	473	2025-06-15 09:01:28	0.0419
35900	12	523	2025-06-15 09:01:58	0.1032
35950	12	573	2025-06-15 09:02:28	0.0708
36000	12	623	2025-06-15 09:02:58	0.0692
36050	12	673	2025-06-15 09:03:28	0.0542
36100	12	723	2025-06-15 09:03:58	0.0429
36150	12	773	2025-06-15 09:04:28	0.0310
36200	12	823	2025-06-15 09:04:59	0.0412
36250	12	873	2025-06-15 09:05:29	0.0555
36300	12	923	2025-06-15 09:05:59	0.0246
36350	12	973	2025-06-15 09:06:29	0.0443
36400	12	1023	2025-06-15 09:06:59	0.0477
36450	12	1073	2025-06-15 09:07:29	0.0788
36500	12	1123	2025-06-15 09:07:59	0.0384
36550	12	1173	2025-06-15 09:08:30	0.0656
36600	12	1223	2025-06-15 09:09:00	0.0401
36650	12	1273	2025-06-15 09:09:30	0.0518
36700	12	1323	2025-06-15 09:10:00	0.0522
36750	12	1373	2025-06-15 09:10:30	0.0523
36800	12	1423	2025-06-15 09:11:00	0.0236
36850	12	1473	2025-06-15 09:11:30	0.0488
36900	12	1523	2025-06-15 09:12:01	0.0715
36950	12	1573	2025-06-15 09:12:31	0.0483
37000	12	1623	2025-06-15 09:13:01	0.0343
37050	12	1673	2025-06-15 09:13:31	0.0317
37100	12	1723	2025-06-15 09:14:01	0.0816
37150	12	1773	2025-06-15 09:14:31	0.0506
37200	12	1823	2025-06-15 09:15:01	0.0680
37250	12	1873	2025-06-15 09:15:31	0.0434
37300	12	1923	2025-06-15 09:16:02	0.0352
37350	12	1973	2025-06-15 09:16:32	0.0500
37400	12	2023	2025-06-15 09:17:02	0.0831
37450	12	2073	2025-06-15 09:17:32	0.0644
37500	12	2123	2025-06-15 09:18:02	0.0406
37550	12	2173	2025-06-15 09:18:32	0.0161
37600	12	2223	2025-06-15 09:19:02	0.0784
37650	12	2273	2025-06-15 09:19:33	0.0572
37700	12	2323	2025-06-15 09:20:03	0.0378
37750	12	2373	2025-06-15 09:20:33	0.0377
37800	12	2423	2025-06-15 09:21:03	0.0413
37850	12	2473	2025-06-15 09:21:33	0.0556
37900	12	2523	2025-06-15 09:22:03	0.0616
37950	12	2573	2025-06-15 09:22:33	0.0718
38000	12	2623	2025-06-15 09:23:04	0.0425
38050	12	2673	2025-06-15 09:23:34	0.0439
38100	12	2723	2025-06-15 09:24:04	0.0956
38150	12	2773	2025-06-15 09:24:34	0.1200
38200	12	2823	2025-06-15 09:25:04	0.0461
38250	12	2873	2025-06-15 09:25:34	0.0443
38300	12	2923	2025-06-15 09:26:04	0.0547
38350	13	25	2025-06-15 09:28:24	0.0615
38400	13	75	2025-06-15 09:28:54	0.0296
38450	13	125	2025-06-15 09:29:24	0.0791
38500	13	175	2025-06-15 09:29:54	0.0444
38550	13	225	2025-06-15 09:30:24	0.0290
38600	13	275	2025-06-15 09:30:55	0.0785
38650	13	325	2025-06-15 09:31:25	0.0349
38700	13	375	2025-06-15 09:31:55	0.0429
38750	13	425	2025-06-15 09:32:25	0.0691
38800	13	475	2025-06-15 09:32:55	0.0282
38850	13	525	2025-06-15 09:33:25	0.0303
38900	13	575	2025-06-15 09:33:55	0.0577
38950	13	625	2025-06-15 09:34:26	0.0305
39000	13	675	2025-06-15 09:34:56	0.0511
39050	13	725	2025-06-15 09:35:26	0.0569
39100	13	775	2025-06-15 09:35:56	0.0254
39150	13	825	2025-06-15 09:36:26	0.0593
39200	13	875	2025-06-15 09:36:56	0.0395
39250	13	925	2025-06-15 09:37:26	0.0247
39300	13	975	2025-06-15 09:37:57	0.0250
39350	13	1025	2025-06-15 09:38:27	0.0619
39400	13	1075	2025-06-15 09:38:57	0.0826
39450	13	1125	2025-06-15 09:39:27	0.0243
39500	13	1175	2025-06-15 09:39:57	0.0395
39550	13	1225	2025-06-15 09:40:27	0.0378
39600	13	1275	2025-06-15 09:40:57	0.0476
39650	13	1325	2025-06-15 09:41:27	0.0337
39700	13	1375	2025-06-15 09:41:58	0.0581
39750	13	1425	2025-06-15 09:42:28	0.0631
39800	13	1475	2025-06-15 09:42:58	0.0550
39850	13	1525	2025-06-15 09:43:28	0.0920
39900	13	1575	2025-06-15 09:43:58	0.0498
39950	13	1625	2025-06-15 09:44:28	0.0551
40000	13	1675	2025-06-15 09:44:58	0.0501
40050	13	1725	2025-06-15 09:45:28	0.0399
40100	13	1775	2025-06-15 09:45:59	0.0597
40150	13	1825	2025-06-15 09:46:29	0.0294
40200	13	1875	2025-06-15 09:46:59	0.0614
40250	13	1925	2025-06-15 09:47:29	0.0548
40300	13	1975	2025-06-15 09:47:59	0.0273
40350	13	2025	2025-06-15 09:48:29	0.0403
40400	13	2075	2025-06-15 09:48:59	0.0457
40450	13	2125	2025-06-15 09:49:30	0.0575
40500	13	2175	2025-06-15 09:50:00	0.0456
40550	13	2225	2025-06-15 09:50:30	0.0651
40600	13	2275	2025-06-15 09:51:00	0.0389
40650	13	2325	2025-06-15 09:51:30	0.0288
40700	13	2375	2025-06-15 09:52:00	0.0408
40750	13	2425	2025-06-15 09:52:30	0.0231
40800	13	2475	2025-06-15 09:53:00	0.0340
40850	13	2525	2025-06-15 09:53:31	0.0622
40900	13	2575	2025-06-15 09:54:01	0.0482
40950	13	2625	2025-06-15 09:54:31	0.0770
41000	13	2675	2025-06-15 09:55:01	0.0493
41050	13	2725	2025-06-15 09:55:31	0.0415
41100	13	2775	2025-06-15 09:56:01	0.0426
41150	13	2825	2025-06-15 09:56:31	0.0255
41200	13	2875	2025-06-15 09:57:02	0.0411
41250	13	2925	2025-06-15 09:57:32	0.0508
41300	14	27	2025-06-15 09:59:51	0.0681
41350	14	77	2025-06-15 10:00:21	0.0184
41400	14	127	2025-06-15 10:00:51	0.0468
41450	14	177	2025-06-15 10:01:21	0.0366
41500	14	227	2025-06-15 10:01:52	0.0295
41550	14	277	2025-06-15 10:02:22	0.0442
41600	14	327	2025-06-15 10:02:52	0.0386
41650	14	377	2025-06-15 10:03:22	0.0321
41700	14	427	2025-06-15 10:03:52	0.0429
41750	14	477	2025-06-15 10:04:22	0.0194
41800	14	527	2025-06-15 10:04:52	0.0406
41850	14	577	2025-06-15 10:05:23	0.0385
41900	14	627	2025-06-15 10:05:53	0.0287
41950	14	677	2025-06-15 10:06:23	0.0270
42000	14	727	2025-06-15 10:06:53	0.0446
42050	14	777	2025-06-15 10:07:23	0.0633
42100	14	827	2025-06-15 10:07:53	0.0610
42150	14	877	2025-06-15 10:08:24	0.0666
42200	14	927	2025-06-15 10:08:54	0.0495
42250	14	977	2025-06-15 10:09:24	0.0637
42300	14	1027	2025-06-15 10:09:54	0.0352
42350	14	1077	2025-06-15 10:10:24	0.0347
42400	14	1127	2025-06-15 10:10:54	0.0432
42450	14	1177	2025-06-15 10:11:24	0.0505
42500	14	1227	2025-06-15 10:11:55	0.0332
42550	14	1277	2025-06-15 10:12:25	0.0397
42600	14	1327	2025-06-15 10:12:55	0.0521
42650	14	1377	2025-06-15 10:13:25	0.0596
42700	14	1427	2025-06-15 10:13:55	0.0670
42750	14	1477	2025-06-15 10:14:25	0.0977
42800	14	1527	2025-06-15 10:14:55	0.0223
42850	14	1577	2025-06-15 10:15:26	0.0222
42900	14	1627	2025-06-15 10:15:56	0.1109
42950	14	1677	2025-06-15 10:16:26	0.0371
43000	14	1727	2025-06-15 10:16:56	0.0305
43050	14	1777	2025-06-15 10:17:26	0.0539
43100	14	1827	2025-06-15 10:17:56	0.0737
43150	14	1877	2025-06-15 10:18:26	0.0564
43200	14	1927	2025-06-15 10:18:57	0.0404
